,Fecha,Demanda Energia SIN kWh,Generación kWh,Demanda No Atendida kWh,Exportaciones kWh,Importaciones kWh,Población,Temp_BOGOTA,Temp_ANTIOQUIA,Temp_VALLE DEL CAUCA,Temp_ATLANTICO,Temp_BOLIVAR,Temp_CUNDINAMARCA,Temp_NORTE DE SANTANDER,Temp_SANTANDER,Temp_CESAR,Temp_META
4558,2019-06-26,204199917.0,199862034.42,101770.0,5111.16,4241223.74,49395678,14.140068388756928,21.80224189823009,21.50791528403968,29.179166666666664,27.696875,16.2304323730709,19.81805553224553,20.78593765163297,24.62452758139535,24.03
4559,2019-06-27,208350834.6,202911402.65,12150.0,,5427281.95,49395678,13.663731492478226,22.08902306274682,22.28179208762887,28.80625,27.28333333333333,16.18965159090909,20.155678218390804,20.714678782945736,22.678864083526683,25.05779005524862
4560,2019-06-28,207564665.28,200494850.89,134850.0,,6934964.39,49395678,12.307532264449724,21.35987545294635,22.275835474658088,28.975,27.32604166666667,15.34269986439093,19.99749922413793,20.586079642023343,23.883882250580047,23.88463541666667
4561,2019-06-29,195401557.14,188069901.15,,,7331655.99,49395678,12.056366462086716,20.95945682937555,22.09944865825688,28.60208333333333,27.140625,15.255910636461705,19.30690783453237,19.745301996892,23.615825730858468,22.02703125
4562,2019-06-30,175052604.97,167529135.73,193270.0,,7330199.24,49395678,12.60154153054153,21.01324930150309,20.79790753058104,28.516666666666666,26.977083333333336,15.34809932810513,19.733419770114946,19.714068066770185,23.57457665893272,22.1584375
4563,2019-07-01,175750068.97,168115836.33,382520.0,,7251712.64,49395678,12.358165627165627,19.92840989903424,20.505458589449542,28.09375,26.73645833333333,14.476910709392266,18.892197076149422,18.682214326625388,23.25746494199536,21.80598958333333
4564,2019-07-02,197546506.380001,196343633.290001,13930.0,758644.17,1947587.26,49395678,12.575440594059408,20.49544333627928,20.80718865190365,28.289583333333336,26.79375,15.097976699050086,19.0530319606414,19.295301631037216,23.44662374418605,21.786041666666662
4565,2019-07-03,202937679.08,202642039.34,11310.0,913989.66,1198319.4,49395678,13.56897454437401,20.025229858344403,21.299631704892963,28.78333333333333,27.477083333333336,15.90263767936981,20.10357432847276,20.06503300995025,23.54263438515081,24.34057291666667
4566,2019-07-04,203553822.08,203377318.98,160120.0,925342.29,941725.39,49395678,13.801208589565563,21.066032628571428,21.92540854740061,28.83333333333333,27.910416666666663,16.736496066466902,20.023047927018634,20.7858071901528,23.22235510440835,24.29585798816568
4567,2019-07-05,205050426.19,205433086.56,175780.0,1435107.01,876666.64,49395678,12.903445639734494,20.1368065751634,21.402528321865443,28.839583333333334,27.690625,15.222134366869035,19.39707202586207,19.61523006993007,24.140046519721576,21.66982142857143
4568,2019-07-06,196700778.02,195508352.73,227500.0,90112.99,1055038.28,49395678,12.727659778696175,21.13994715909091,22.124144648318044,29.241666666666664,28.540625,16.1412494121461,19.779623002873564,19.61755261886204,24.221744475524478,23.8025
4569,2019-07-07,178606623.91,177876447.28,282270.0,13719.03,461625.66,49395678,13.074062368815593,21.64570922406277,21.60441215214067,29.322916666666668,27.59270833333333,15.733088688053098,20.937689267241375,20.8151766718507,24.19653408352668,22.657277486911
4570,2019-07-08,199218290.42,194526622.36,,,4691668.06,49395678,12.60059508173816,20.68524023871528,21.259533481904764,28.058333333333334,26.17395833333333,15.353599700237222,20.57747295470884,19.59430559375,22.274998723897912,22.92230769230769
4571,2019-07-09,199077864.6,194022738.53,12930.0,,5042196.07,49395678,12.800140752864158,19.943212938368056,21.01889106439394,26.77083333333333,25.945833333333336,14.723928066426913,18.964338627873563,18.43205017094017,20.55100505800464,21.74345238095238
4572,2019-07-10,203542278.78,198974975.01,,,4567303.77,49395678,12.087685528350516,20.67837595744681,21.183774075757576,27.991666666666664,26.565957446808508,15.067175710885088,19.5317612077642,19.005100885780884,22.37023502325581,22.561556886227542
4573,2019-07-11,204078549.050001,198981054.990001,,1585.44,5099079.5,49395678,13.500880843898576,20.55181243444056,21.66839857575757,28.67083333333333,27.89375,15.786783843401388,20.068611875,19.29307260667184,23.177121044083524,23.300575916230365
4574,2019-07-12,205560467.85,200044183.87,33500.0,489.68,5483273.66,49395678,13.542052652414885,20.180589943379797,21.25369283712121,28.98333333333333,28.572527472527472,15.525023831154442,20.401971278735637,19.55617743169399,22.68063135198135,23.04715909090909
4575,2019-07-13,195154165.28,188546293.8,6870.0,,6601001.48,49395678,13.014212503727263,19.886730886075952,20.881734420454546,28.95833333333333,28.280722891566267,15.343878109742924,19.316282040229883,19.137347290372677,23.353433758700696,22.402189349112422
4576,2019-07-14,176739907.3,170877080.37,1330.0,813.52,5862310.45,49395678,13.012568784639749,20.38146578508772,20.79389318560606,28.785416666666663,27.808536585365857,15.510744945894334,19.887603800287355,19.736633006993006,23.482722320185616,22.77517857142857
4577,2019-07-15,198637166.68,198020577.51,111560.0,88381.5,593410.67,49395678,12.822196831683168,19.36187984320557,19.50072159530125,27.722916666666663,27.29036144578313,15.20100842105263,20.2547150651341,19.37332352484472,23.06947464037123,24.26125
4578,2019-07-16,202450815.42,196868450.84,,,5582364.58,49395678,11.600273258115598,19.9813833930131,20.145038731060605,28.379166666666663,28.203614457831325,14.111683345596193,19.93523350980392,18.42156225931677,23.5202318694362,21.85773809523809
4579,2019-07-17,204082072.43,201104523.98,,12266.71,2989815.16,49395678,12.476110549777117,21.740971212516296,22.32393673863637,29.039583333333336,29.37901234567901,15.555692552105487,20.79391868872549,20.38093849688473,26.042657342657343,23.57894736842105
4580,2019-07-18,207861272.49,204571668.4,,,3289604.09,49395678,13.33834547975047,22.246884410480348,22.31979646969697,29.291666666666668,29.806410256410256,15.800756149425288,21.37014324754902,20.598691677018635,26.947552447552447,24.08378698224852
4581,2019-07-19,207750465.12,201892168.65,5320.0,,5852976.47,49395678,12.811136092319936,22.23608401913876,23.05622142478212,29.197916666666668,29.34074074074074,14.957671696279846,21.165078247549022,20.599449347826088,27.053846153846152,23.14294117647059
4582,2019-07-20,188834280.65,181491742.28,9950.0,,7332588.37,49395678,12.744276128266034,22.31009260232658,22.95487082575757,29.704166666666666,30.49,15.250879653778115,20.70958856832972,21.01510891304348,28.225174825174825,23.062527472527474
4583,2019-07-21,179558346.46,171990013.1,342010.0,,7226323.36,49395678,13.227989499752352,22.34324729355815,22.140060102272727,29.45,30.43703703703704,15.424302950614187,20.870960389492755,21.245670373540857,27.91056338028169,23.0615625
4584,2019-07-22,205816002.41,200589635.71,43740.0,5201.98,5187828.68,49395678,13.259695961995249,20.56269157031924,20.845669147727275,28.92708333333333,29.045454545454547,15.605101104166668,20.71333644463668,19.763451858475893,26.05046388888889,23.415625
4585,2019-07-23,202291906.96,199140560.94,279940.0,14615.75,2886021.77,49395678,12.732635760277365,19.45718381771281,19.712398761329307,27.635416666666668,26.147674418604648,14.5500823330461,19.247855318118948,18.897749475713184,22.78601828306265,21.740729166666668
4586,2019-07-24,203730659.96,202886172.38,41530.0,66533.22,869490.8,49395678,12.901739707046714,19.792937937048062,20.41453418543544,28.477083333333336,27.89902912621359,14.694893490669594,19.258716985677083,18.52227864885496,23.49934596287703,23.73302083333333
4587,2019-07-25,204091210.24,203851176.21,18910.0,29434.14,250558.17,49395678,12.32205572050673,20.510832058194268,20.134753164414416,28.26458333333333,27.902912621359224,14.767015245274528,19.798606575520832,19.48804306697108,23.319491255813958,22.061510416666668
4588,2019-07-26,203659885.8,201879017.81,84290.0,17345.83,1713923.82,49395678,12.408537464119568,20.054180575692964,20.389668408408408,28.31875,27.39134615384615,15.164836561302682,18.6123694921875,18.472361134805787,23.03029741860465,22.15958333333333
4589,2019-07-27,195422634.23,190915383.18,86320.0,,4420931.05,49395678,12.462180053481232,21.447163665389528,21.890709264264263,28.508333333333336,28.467961165048543,15.203171141962422,19.377676595052083,19.443753430930933,24.390033085846863,23.025104166666665
4590,2019-07-28,179305328.78,174220601.99,222960.0,,4861766.79,49395678,12.606288499604116,21.19319790212766,21.6649827027027,29.110416666666666,29.18380952380953,14.809577625523014,20.160180859375,19.525346671641792,23.811631701631704,22.555260416666663
4591,2019-07-29,204429011.73,201958951.6,12300.0,3577.5,2461337.63,49395678,13.13111549881235,21.60157735105015,21.83289737987988,28.610416666666666,28.708571428571428,15.55658681622088,20.372954954427083,20.178733288389516,23.289923433874712,23.952041884816754
