FechaObservacion,ValorObservado
2005-01-07,26.60748031496063
2005-01-23,27.08483606557377
2005-01-26,26.35487804878049
2005-02-26,18.420149253731346
2005-02-27,18.872857142857143
2005-03-06,17.483846153846155
2005-03-22,18.167153284671535
2005-03-30,18.20073529411765
2005-04-21,21.642924528301887
2005-05-19,20.7519801980198
2005-05-20,21.958490566037735
2005-05-27,21.500239808153477
2005-06-08,21.11237113402062
2005-07-11,21.315140845070424
2005-07-22,21.554397394136807
2005-08-14,22.25856236786469
2005-08-30,22.336184210526316
2005-09-11,22.005183946488295
2005-09-15,22.452662721893493
2005-10-24,20.590562913907284
2005-10-27,21.776190476190475
2005-10-30,21.441337386018237
2005-11-10,21.1496062992126
2005-11-19,21.58815789473684
2005-11-21,21.530670926517573
2005-12-13,21.91181208053691
2005-12-16,22.191472868217055
2006-01-14,22.704433497536947
2006-01-29,22.190604890604888
2006-02-18,22.606235565819862
2006-03-07,21.20378619153675
2006-04-17,22.086543535620052
2006-04-25,22.234444444444446
2006-06-01,21.353306342780026
2006-06-17,22.048360655737703
2006-06-22,22.44520367936925
2006-06-23,22.037917222963955
2006-06-27,22.900532623169106
2006-07-01,24.036491935483873
2006-08-19,22.218508997429307
2006-10-13,21.18989218328841
2006-10-20,21.201954022988506
2006-10-21,21.541291810841983
2006-11-10,22.613878562577447
2006-11-17,22.01229193341869
2006-11-30,23.327206771463118
2006-12-25,22.515560165975103
2006-12-31,22.959916492693107
2007-01-03,22.866885964912278
2007-02-27,23.765556711758585
2007-03-05,22.186056644880175
2007-03-08,21.612295081967215
2007-04-18,22.465316045380877
2007-05-29,21.072820512820513
2007-05-30,21.806810442678774
2007-06-16,22.371739130434783
2007-06-17,22.607359307359307
2007-07-04,23.826888888888888
2007-07-31,22.684378109452737
2007-08-14,21.959978655282818
2007-09-09,22.001727861771055
2007-09-22,23.568933054393305
2008-01-01,22.15548780487805
2008-01-17,21.589419354838707
2008-03-20,21.947727272727274
2008-04-04,22.237467362924285
2008-06-07,21.915937940761637
2008-06-13,22.69299111549852
2008-07-05,21.891395348837207
2008-07-13,21.589281045751633
2008-08-01,23.27253269916766
2008-09-02,21.925082146768894
2008-09-14,23.74347290640394
2008-09-16,22.16498150431566
2008-10-12,21.779738562091502
2008-11-22,22.427353815659067
2008-12-15,22.156662804171496
2008-12-27,22.333151581243186
2009-02-11,22.28177570093458
2009-02-13,22.037631887456037
2009-05-09,22.624819027921408
2009-06-01,23.867551020408165
2009-06-04,23.643782117163415
2009-06-24,22.79966024915062
2009-09-03,24.38346368715084
2009-09-25,24.34121546961326
2009-10-27,23.571688574317495
2009-11-25,24.54053497942387
2009-12-20,22.410220440881766
2009-12-23,22.61468189233279
2010-01-09,21.722274881516586
2010-01-17,23.98238866396761
2010-01-26,22.961995967741935
2010-02-08,23.708686210640607
2010-02-14,23.510258964143425
2010-04-05,22.91622983870968
2010-04-10,22.546538024971625
2010-04-18,22.33957783641161
2010-06-08,22.42931937172775
2010-07-06,21.690360169491527
2010-08-05,22.83971631205674
2010-09-12,22.30925449871465
2010-09-22,21.511082474226804
2010-10-19,21.42438725490196
2010-10-26,22.045848375451264
2010-11-11,20.512137203166226
2010-11-16,20.315604681404423
2010-12-01,21.839048811013768
2010-12-07,22.28592105263158
2010-12-17,21.589035667107
2010-12-23,21.175951086956523
2011-01-07,21.57713068181818
2011-01-26,22.37196382428941
2011-03-09,21.011508379888266
2011-05-20,21.280602006688962
2011-05-28,21.459716599190283
2011-06-16,21.883789704271635
2011-08-18,22.85840807174888
2011-08-22,21.77635359116022
2011-10-04,20.965306122448983
2011-10-13,21.801942740286297
2011-10-16,20.54556331006979
2011-10-27,22.29550102249489
2011-11-24,21.03037120359955
2011-12-09,22.180545670225385
2011-12-29,23.06462093862816
2012-01-09,23.07681331747919
2012-01-12,23.238515901060072
2012-01-19,21.9940243902439
2012-02-27,22.792819429778245
2012-04-15,22.805764705882353
2012-04-19,22.058584686774942
2012-05-01,21.768138424821004
2012-06-21,21.927122940430927
2012-06-26,21.953890160183068
2012-07-07,22.959551886792454
2012-07-27,22.80516795865633
2012-08-04,22.395684340320592
2012-08-10,22.293029150823827
2012-08-29,22.800884955752213
2012-09-07,22.181441048034934
2012-09-12,22.070487106017193
2012-09-25,21.867892976588628
2012-10-20,22.704525547445257
2012-10-21,22.345705196182397
2012-11-03,22.10190476190476
2012-11-21,22.30025348542459
2012-12-20,22.30534629404617
2013-01-20,23.04367704280156
2013-02-11,21.916433566433568
2013-03-01,22.06218181818182
2013-03-08,23.71478102189781
2013-04-01,23.56256830601093
2013-04-06,23.309536784741145
2013-04-14,22.894006309148267
2013-05-22,21.331504257332075
2013-05-25,22.84405172413793
2013-06-02,22.92918552036199
2013-06-07,22.580722891566264
2013-06-13,22.61822358346095
2013-06-15,22.16316218418908
2013-07-04,21.994831636648396
2013-07-05,21.491039999999998
2013-08-19,22.155990415335463
2013-10-06,22.939803220035778
2013-10-16,20.55544815465729
2013-10-24,21.80046992481203
2013-12-21,22.427046263345197
2013-12-24,21.79233543733093
2014-01-07,21.705065502183405
2014-01-20,23.217208413001913
2014-01-31,22.364583333333332
2014-02-02,22.514957264957264
2014-02-10,23.025922421948913
2014-02-21,22.36025267249757
2014-03-06,22.59267578125
2014-03-17,22.944454628780935
2014-04-18,22.75919642857143
2014-04-23,22.38605287146764
2014-05-17,22.583438343834384
2014-06-30,22.99526066350711
2014-08-03,21.579010695187165
2014-08-14,22.864986251145737
2014-09-15,22.989128481581314
2014-09-19,23.264123524069028
