FechaObservacion,ValorPonderado
2003-08-18,0.05746209507894041
2004-04-13,0.026195955109516954
2005-01-03,0.4807042408490606
2005-01-04,0.43555906074542333
2005-01-11,0.454299627160309
2005-02-01,0.5449025120716314
2005-02-13,0.41327763082543584
2005-02-14,0.44451423370661314
2005-02-17,0.5699998502763277
2005-02-19,0.5741034643933721
2005-03-10,0.5077037565103903
2005-03-12,0.4742955528476486
2005-03-18,0.4886323968697907
2005-03-25,0.49327034472514264
2005-03-27,0.512301205255011
2005-04-20,0.7396544666387612
2005-04-22,0.7176097892633618
2005-05-11,0.9335887130193199
2005-05-15,1.4181336114245162
2005-05-16,1.6245481299705378
2005-05-18,1.6744224237587308
2005-05-24,2.1471136357625387
2005-05-26,2.346323870704636
2005-05-29,2.218760914754079
2005-06-02,1.8893174774214696
2005-06-05,2.0372940369988752
2005-06-06,2.0115148199781467
2005-06-09,2.0953289527714514
2005-06-13,3.8493132314134098
2005-06-18,2.120283369842252
2005-06-22,2.381384161754583
2005-06-26,2.353453227286546
2005-06-28,2.6055815111251457
2005-06-30,2.428626791572871
2005-07-01,3.1820522085940386
2005-07-02,3.2965958574134957
2005-07-13,3.000965331956736
2005-07-16,3.1203342105785317
2005-07-21,3.6584972493679495
2005-07-24,3.4573458411351647
2005-07-30,3.4647354401008004
2005-07-31,3.716270640442752
2005-08-06,3.3328916733029867
2005-08-09,3.383485396231896
2005-08-10,3.3594550344717637
2005-08-11,3.2526043507397637
2005-08-12,3.3816465113431535
2005-08-13,3.2707344297579204
2005-08-15,3.225367747780801
2005-08-18,3.69249345544631
2005-08-19,3.8653955553288366
2005-08-20,3.91306462572074
2005-08-21,3.7560613707949484
2005-08-23,3.783003469977458
2005-08-24,3.549867112903861
2005-08-29,3.6894026844234356
2005-08-30,3.789541843339021
2005-09-05,4.266897946813257
2005-09-08,6.112541368776344
2005-09-10,6.694020847947408
2005-09-13,5.2997171149448485
2005-09-14,5.266657396712933
2005-09-15,5.771651166934424
2005-09-18,5.520938057818517
2005-09-24,5.1518063130722265
2005-09-27,5.396433146813722
2005-09-30,5.366808254788917
2005-10-01,5.033042983270695
2005-10-02,5.19963235210092
2005-10-03,4.825720529846178
2005-10-04,5.133740465909358
2005-10-06,5.389175437570729
2005-10-09,4.629607472787562
2005-10-13,4.953845018598707
2005-10-20,5.3208349623729205
2005-10-24,3.415162283700225
2005-10-28,3.408903760636462
2005-10-30,3.530847415875315
2005-10-31,3.6088732128102565
2005-11-01,3.549413618366354
2005-11-02,3.706881384908198
2005-11-04,3.9806221246664957
2005-11-08,3.85709083736757
2005-11-09,3.7451566106267995
2005-11-10,3.7054887312730265
2005-11-12,3.5158011907846203
2005-11-15,3.600211684105193
2005-11-21,3.7029034478679033
2005-11-23,3.566863946327232
2005-11-25,3.7458943282492663
2005-11-28,3.84734656163122
2005-11-30,3.779655150020198
2005-12-05,5.051289263158355
2005-12-12,5.430551693335235
2005-12-13,5.39895681879263
2005-12-14,5.271577498804603
2005-12-17,5.415245556823677
2005-12-18,5.674457736421972
2005-12-23,5.61881292213272
2005-12-24,5.39776186476433
2005-12-26,5.633216402700971
2005-12-27,5.6959425184626555
2005-12-30,6.0819002746036706
2005-12-31,6.097640302539966
2006-01-02,6.095592989136486
2006-01-03,5.950333522081578
2006-01-04,5.7360012913111875
2006-01-08,5.88379255056434
2006-01-09,6.360533585939962
2006-01-12,6.375128970795546
2006-01-16,6.236149529433529
2006-01-25,6.802786642017854
2006-01-29,6.301435588630218
2006-01-31,6.342715277295227
2006-02-03,6.468288280175015
2006-02-10,4.036929927124649
2006-02-11,4.1358938855134495
2006-02-12,4.122487351188249
2006-02-13,4.1723645309186175
2006-02-16,4.201139113778293
2006-02-21,6.326725157232116
2006-02-25,6.636060763667185
2006-02-28,6.51892768449155
2006-03-01,6.716506222600334
2006-03-02,6.686123222374374
2006-03-03,6.661049975942496
2006-03-04,6.576352365775138
2006-03-05,6.531624063698514
2006-03-09,5.927851561906274
2006-03-10,6.140619594020953
2006-03-14,6.006409742556956
2006-03-17,5.898195563249826
2006-03-19,5.928973204788944
2006-03-21,5.96412221194649
2006-03-22,5.802220255123295
2006-03-26,5.897709624341344
2006-03-30,6.263050758328338
2006-04-02,6.184509489740995
2006-04-03,6.2703201497733145
2006-04-04,6.054652074591912
2006-04-07,6.019058317995856
2006-04-08,6.2595552101950585
2006-04-11,6.103722737091908
2006-04-13,5.7974406704183155
2006-04-15,6.058939343760484
2006-04-17,5.624953693934316
2006-04-18,5.53591971673846
2006-04-23,5.637653670570667
2006-04-24,5.653334285562765
2006-04-29,6.144129369355319
2006-05-01,6.17484316304262
2006-05-03,6.104773906233591
2006-05-07,5.956715922199896
2006-05-08,6.053424433754562
2006-05-12,6.01803978330251
2006-05-13,6.299189487999553
2006-05-15,6.552844613186839
2006-05-16,6.2688954351329
2006-05-17,6.026499467177751
2006-05-18,6.145570469840541
2006-05-20,6.043233081628096
2006-05-22,6.357880462931902
2006-05-23,6.580930315533392
2006-05-25,6.666101286704885
2006-05-26,6.583909596878456
2006-05-27,6.385053696022275
2006-05-28,6.347038035883584
2006-05-29,6.198354472371214
2006-05-30,6.423602689783345
2006-05-31,6.423846984484883
2006-06-02,5.997053166584033
2006-06-04,6.030442520282353
2006-06-06,6.185207746580114
2006-06-08,5.6402651778424175
2006-06-10,4.689379041297973
2006-06-12,5.092951163485985
2006-06-14,5.054102223436309
2006-06-17,5.356863149623583
2006-06-18,5.414527715386656
2006-06-19,5.516861767233065
2006-06-28,5.346392028823076
