FechaObservacion,ValorObservado
2005-02-18,0.0007936507936507937
2005-02-22,0.018562874251497004
2005-03-10,0.0018348623853211012
2005-04-21,0.06071700991609458
2005-05-03,0.056796875000000004
2005-11-22,0.07823497563616676
2005-11-28,0.00296973158195317
2006-02-21,0.1003582395087001
2006-03-01,0.1125932426502852
2006-04-13,0.06913864578535237
2006-06-12,0.027798213347346296
2006-10-15,0.035801393728223
2006-11-26,0.13105950653120463
2006-11-29,0.12124168514412416
2006-12-10,0.0924989639452963
2007-02-18,0.030820836621941593
2007-05-16,0.00825019186492709
2007-05-19,0.021243523316062177
2007-06-27,0.00525
2007-08-11,0.015793991416309012
2008-01-04,0.007512520868113523
2008-04-18,0.008452950558213716
2008-05-01,0.08423791821561338
2008-05-23,0.05098417599382478
2008-06-25,0.035582294800171894
2008-08-12,0.01861984483462638
2008-09-10,0.0048117966627861854
2008-09-17,0.02122069523039612
2008-12-15,0.030438484461472966
2009-01-31,0.04016494845360825
2009-02-25,0.01669733210671573
2009-06-06,0.04704545454545455
2009-06-13,0.13366298972993532
2009-10-18,0.058865468071915686
2009-11-23,0.02135815991237678
2010-03-03,0.07384780278670955
2010-09-12,0.011365399534522886
2010-09-19,0.07717186912373072
2010-09-26,0.10088532883642495
2010-11-14,0.055
2010-11-20,0.033929369691551185
2010-11-30,0.0581654522074582
2011-02-09,0.060157699443413724
2011-02-17,0.025796178343949046
2011-03-14,0.001199040767386091
2011-04-05,0.0650132860938884
2011-10-10,0.06980659025787966
2011-10-11,0.022379103423932227
2012-01-23,0.0037207872078720786
2012-01-31,0.020288491690185012
2012-03-07,0.011781445645987479
2012-03-10,0.013216126098817824
2012-03-16,0.20895475819032763
2012-03-18,0.019544924154025672
2012-04-17,0.02396088019559902
2012-06-16,0.03565303430079155
2012-09-26,0.015653710247349822
2012-10-14,0.02316923076923077
2013-03-22,0.028634146341463416
2013-08-06,0.009926189870195978
2013-11-01,0.023519736842105263
2013-11-13,0.013689292814541324
2013-12-17,0.03288288288288289
2014-01-25,0.013788932567281524
2014-07-05,0.009849474581084918
2014-07-09,0.03500146412884334
2014-08-19,0.033254716981132075
2014-10-08,0.04376086570871031
2014-11-09,0.015752715985514747
2014-11-15,0.019620274914089346
2014-12-25,0.005379426644182126
2015-01-05,6.369426751592357e-05
2015-01-10,0.0007250153280196199
2015-03-07,0.008043478260869565
2015-03-13,0.007995814552479073
2015-04-07,0.0049690251059667425
2015-05-08,0.0025660617637695005
2015-06-26,0.015732069862504645
2015-06-29,0.012061194576768047
2015-07-05,0.016068376068376067
2015-11-17,0.049535911602209944
2016-01-15,0.00032964499769479026
2016-02-16,0.000819236346060899
2016-03-09,0.0022040713747172656
2016-04-17,0.05596316758747698
2016-04-28,0.06312615612282649
2016-07-14,0.0331589756921877
2016-08-28,0.024061868918670827
2016-11-02,0.02594080944350759
2017-01-24,0.004063320463320463
2017-02-12,0.024702161307327358
2017-03-06,0.029958734837320034
2017-03-15,0.02971853573503777
2017-03-20,0.02249248612583401
2017-07-18,0.03358103153263261
2017-10-07,0.02942234278990718
2017-10-18,0.02365597937462815
2017-12-13,0.019888765729934147
2018-01-11,0.03211810247747748
2018-04-22,0.1374913298991511
2018-05-02,0.10986864014801109
2018-10-08,0.08689239008593848
2018-11-02,0.5627709513692163
2018-12-25,0.5113311654676259
2019-03-01,0.9660695927903872
2019-03-04,0.7032991708500197
2019-05-05,0.016065966074590213
2019-08-24,0.45195005854091813
2020-04-01,0.05442811530332329
2024-12-13,0.025901574189526187
2024-10-09,0.009458309790943578
2024-10-19,0.01620523838755883
2022-11-02,0.09498910675381264
2022-12-18,0.012327046644455022
2023-09-13,0.0018996216897856242
2024-05-11,0.019673729644889153
2022-01-12,0.013619411595038938
2022-02-16,0.022188118811881187
2022-03-25,0.4478458274398869
2022-04-12,0.018252173361253888
2020-08-25,0.5047679075899303
2020-09-25,0.013878986866791745
2021-05-10,0.035736054421768707
2021-06-13,0.040992218187208176
2021-06-21,0.01633418439716312
2019-12-13,0.347125721751591
2024-10-28,0.010285108638049816
2024-06-05,0.008925496688741723
2024-02-28,0.003298844698906042
2024-07-13,0.008067885590152063
2024-07-19,0.01812794487382438
2024-08-27,0.0010388637427813329
2022-06-29,0.027134323786184713
2021-10-06,0.03504656600748263
2020-11-28,0.047510377860564126
2020-12-27,0.03025053552302749
2021-01-24,0.01115334751342044
2020-05-13,0.4432512140175219
2023-06-23,0.03862224094355518
2023-07-07,0.0489637039154044
2022-07-19,0.0024421758786641393
2022-07-28,0.04699505198996056
2021-03-22,0.08552764062348726
2021-10-26,0.04975986246833152
2021-11-21,0.018560955805591
2005-01-17,0.46004016064257025
2005-01-21,0.4426470588235294
2005-07-04,0.0386046511627907
2005-07-09,0.0078544061302682
2006-01-07,0.0325984251968504
2006-01-17,0.02359550561797753
2006-06-27,0.02358695652173913
2006-09-03,0.17505915759583532
2006-09-11,0.2669569202566453
2006-12-27,0.0980185497470489
2007-01-09,0.09971223021582734
2007-02-22,0.027898279730740466
2007-07-06,0.003700962250185048
2007-09-14,0.020127118644067795
2007-09-22,0.003473641193297916
2007-09-29,0.01802133137182788
2007-12-17,0.051418616226978596
2008-03-05,0.021021318790282597
2008-03-30,0.036143536532641594
2008-05-03,0.018224131757966344
2008-05-11,0.04487951807228916
2008-09-14,0.009034153507161219
2008-10-10,0.06840974212034384
2008-11-17,0.027384723688841955
2009-04-26,0.07344961240310077
2009-07-11,0.09717931497649428
2010-03-13,0.008896797153024912
2010-04-30,0.03152914458743376
