FechaObservacion,ValorPonderado
2005-01-30,0.0006545737218691345
2005-02-10,0.0011520838456523684
2005-02-18,2.6995733955489302e-05
2005-02-28,0.0008987787141126598
2005-03-06,0.00111268863839424
2005-04-19,0.0005866264745108866
2005-05-03,0.0025437977317054944
2005-05-09,0.0013300456250020694
2005-05-29,0.001987842394093667
2005-06-14,0.0012251739888043856
2005-06-18,0.00031747936516676094
2005-06-30,0.0013071431796795414
2005-08-08,0.000749028698524555
2005-08-14,0.002267741212742179
2005-08-24,0.004001814659767035
2005-09-16,0.00846850884392962
2005-10-27,0.0006030434451043754
2005-11-29,1.3308629908521614e-05
2005-12-03,0.0002730527459406665
2005-12-08,0.0032478944306452945
2005-12-10,0.0005804326759877095
2005-12-11,0.0008928493986599015
2005-12-21,0.0009253304115656996
2005-12-23,0.0016266535507164625
2005-12-25,0.0006493752471415961
2006-01-15,0.00214953089836215
2006-02-18,0.014398698865213643
2006-02-28,0.015709566866517657
2006-03-01,0.01510475378262901
2006-03-02,0.01377043404544593
2006-03-30,0.0009675957550801539
2006-04-05,0.003814777035803501
2006-04-06,0.00621722019657312
2006-04-13,0.010729550781934523
2006-05-04,0.005265599120685019
2006-05-08,0.007176114365483264
2006-06-06,0.0015541930239356665
2006-06-13,0.002929124816292446
2006-06-14,0.002546031324367751
2006-06-24,0.0015583014411433762
2006-06-30,0.0038938378090431257
2006-07-11,0.0016711441654718002
2006-07-30,0.030377511845657446
2006-08-16,0.022216676964662674
2006-08-25,0.022920457146701604
2006-09-09,0.020947011677046313
2006-09-13,0.03584806173729981
2006-10-12,0.044400305335997696
2006-10-16,0.0017462023586969312
2006-11-11,0.0014269646997816538
2006-11-29,0.025849814213208
2007-01-31,0.016516620075146638
2007-02-09,0.015187897285505863
2007-02-18,0.015674072378024855
2007-03-02,3.3458483599173257e-06
2007-03-15,5.2441963532892736e-05
2007-03-16,0.0006348530423560983
2007-03-22,0.0017258749535057813
2007-04-07,0.04025878732520715
2007-04-11,0.0007278835356453277
2007-05-08,0.004883675696056148
2007-05-20,0.004825446297627951
2007-05-25,0.005738256525162919
2007-06-09,0.004924726817555228
2007-06-15,0.004376795673851831
2007-06-17,0.0004112702571893323
2007-07-18,0.0007182632937056639
2007-07-19,0.00022688620017117606
2007-07-22,0.006017209600897586
2007-08-01,0.0004920826862265682
2007-08-04,0.0020694022574372422
2007-08-20,0.0033172496788827447
2007-09-10,0.0007213789971490165
2007-09-13,0.0056193617583154545
2007-10-03,0.004484941162918416
2007-10-24,0.005135465320907866
2007-11-09,0.0029589000784439245
2007-11-14,0.0004467750305148048
2007-11-18,0.001640298595212126
2007-11-27,8.78532311429555e-05
2007-12-10,0.0005007135266618714
2008-01-04,0.0004091778769194506
2008-01-06,9.42603761759128e-06
2008-01-30,5.39429282167633e-06
2008-02-04,0.000161382997314709
2008-02-06,1.8173175754496924e-05
2008-02-15,0.0014400528173873495
2008-02-22,0.04669228836859077
2008-03-06,0.0026201327656362496
2008-03-19,0.00043849563446966665
2008-03-29,0.0041163934073779
2008-04-19,0.0006158998955680716
2008-04-22,0.000655776590353158
2008-05-04,0.013444394972032404
2008-05-23,0.005418839735078469
2008-05-29,0.0011596461373052128
2008-05-30,0.0009556194668356839
2008-06-11,0.001063643051699804
2008-06-21,0.003028575162498007
2008-06-25,0.0024374407430721285
2008-06-28,0.0025801549875207833
2008-07-09,0.00285009582029267
2008-07-11,0.003896618958826204
2008-07-18,0.0015999337177220552
2008-08-19,0.0014273632098346354
2008-09-17,0.001994413297138208
2008-09-28,0.0035710894905677244
2008-10-23,0.0035419115348935075
2008-10-31,0.0019163753410328338
2008-11-26,0.004993333501760745
2009-01-31,0.0027064617810381494
2009-02-16,0.00717458254256408
2009-03-07,0.0035725150438740702
2009-03-17,0.006087948733203913
2009-03-24,0.005482080117475653
2009-03-27,0.0011750246490075716
2009-04-02,0.0025619080882999883
2009-04-11,0.0023779254675513196
2009-04-30,0.004642736197749106
2009-05-07,0.0030818143822470075
2009-05-08,0.004614513883510459
2009-05-13,0.006431430190227857
2009-05-19,0.0009631723525721784
2009-06-02,0.000340500005665685
2009-06-07,0.008392417362085916
2009-06-08,0.005615765125011686
2009-06-11,0.012708965691117917
2009-06-13,0.017377812048634225
2009-06-14,0.01601129248353751
2009-06-19,0.0018565387227146139
2009-06-26,0.0004143454807652544
2009-06-29,0.0033793849628116924
2009-07-17,0.0016801134892696977
2009-07-23,0.002012640676122166
2009-07-26,0.0007098441135604974
2009-07-31,0.0036338179111188385
2009-08-08,0.0019713797890403
2009-08-17,0.0023593963353298994
2009-08-20,0.004603281021906307
2009-08-23,0.0031389292169232822
2009-08-31,0.003631991423687729
2009-09-21,0.002125530086705353
2009-10-05,0.0010415700146979355
2009-10-10,0.0027270328421162343
2009-10-15,0.006078460637901968
2009-10-20,0.0016065458855619103
2009-11-04,0.006270812723577373
2009-11-21,0.0001553190154625938
2009-11-23,0.002203838404064452
2009-11-30,0.00011889019516885224
2009-12-30,0.00024219128073781965
2010-01-01,0.00048389285913495283
2010-01-12,0.00020687728889165808
2010-01-15,0.0005565570235578845
2010-01-25,0.0006735990450009962
2010-02-10,0.0003244048188242618
2010-02-23,0.002115646597113872
2010-02-25,0.002918848235443482
2010-03-01,0.00013910396924985826
2010-03-05,0.002595607158995951
2010-03-31,0.0016288254534678034
2010-04-06,0.0017835847538482412
2010-04-24,0.0009119186891857671
2010-05-14,0.0019858211636726345
2010-05-18,0.000502077917395103
2010-05-26,0.006801934771631854
2010-05-28,0.0021840910474363977
