FechaObservacion,Temp_BOGOTA,Temp_ANTIOQUIA,Temp_VALLE DEL CAUCA,Temp_ATLANTICO,Temp_BOLIVAR,Temp_CUNDINAMARCA,Temp_NORTE DE SANTANDER,Temp_SANTANDER,Temp_CESAR,Temp_META,Año,Mes
2007-01-01,13.458333333333334,20.04626168224299,23.500689655172412,27.483333333333334,28.254166666666666,15.136742424242424,21.241666666666667,19.148125,24.79375,26.7625,2007,01
2007-01-02,13.854166666666666,20.14485981308411,23.59103448275862,27.59583333333333,28.347826086956523,15.391472868217054,21.127142857142857,18.43229813664596,25.540425531914895,27.483333333333334,2007,01
2007-01-03,13.858333333333334,20.35528846153846,23.532167832167833,27.34583333333333,27.854166666666668,15.301960784313726,20.230555555555554,18.647798742138363,25.19787234042553,26.754166666666666,2007,01
2007-01-04,14.137500000000001,19.36519607843137,22.78333333333333,27.125,27.383333333333336,15.016988416988417,20.41142857142857,19.04,24.76595744680851,26.9875,2007,01
2007-01-05,14.169565217391304,19.649275362318843,23.177777777777777,26.595652173913045,27.7625,15.87109375,20.474999999999998,19.773856209150328,24.429166666666664,26.429166666666664,2007,01
2007-01-06,14.695454545454545,19.953271028037385,23.44344827586207,26.462500000000002,27.241666666666664,16.010266159695817,20.37777777777778,18.91375,24.380434782608695,27.229166666666668,2007,01
2007-01-07,14.445833333333333,19.74626168224299,23.164335664335663,26.304166666666664,26.837500000000002,15.18030303030303,19.57361111111111,18.88607594936709,24.089583333333334,26.633333333333336,2007,01
2007-01-08,13.47391304347826,19.851578947368424,22.938167938931297,26.066666666666666,25.033333333333335,15.262139917695473,19.31449275362319,17.77983193277311,23.55909090909091,26.3625,2007,01
2007-01-09,14.358333333333334,18.839344262295082,22.574436090225564,25.9375,26.204761904761902,15.012955465587044,19.3,18.39337748344371,23.90416666666667,27.072222222222223,2007,01
2007-01-10,14.549999999999999,19.649214659685864,23.135915492957746,26.087500000000002,28.05714285714286,15.351145038167939,20.0,18.52420382165605,24.322916666666668,28.266666666666666,2007,01
2007-01-11,14.5375,19.94,23.786567164179104,26.08235294117647,27.50177032357739,15.424324324324324,20.36338028169014,18.738064516129032,25.29148936170213,29.92777777777778,2007,01
2007-01-12,15.6625,20.5,23.994927536231884,26.431818181818183,27.50177032357739,16.220392156862744,17.864912280701752,16.88030303030303,24.895833333333332,29.0375,2007,01
2007-01-13,14.733333333333333,20.426455026455027,23.189705882352943,25.9375,27.50177032357739,15.773764258555133,17.18695652173913,18.802580645161292,25.11777777777778,26.242105263157896,2007,01
2007-01-14,15.4,20.474193548387095,22.985950413223144,25.77777777777778,27.50177032357739,16.406513409961686,16.88095238095238,18.793589743589745,24.69777777777778,28.38095238095238,2007,01
2007-01-15,15.666666666666666,21.08410256410256,24.138571428571428,25.66875,27.50177032357739,16.605882352941176,16.712500000000002,18.93486842105263,24.867391304347827,27.675,2007,01
2007-01-16,14.575000000000001,20.038805970149255,23.872535211267607,25.447619047619046,27.50177032357739,15.957370517928288,17.495652173913044,18.786821705426355,24.684782608695652,28.836842105263155,2007,01
2007-01-17,14.454166666666667,19.8303317535545,23.03758865248227,25.379166666666666,27.50177032357739,15.985992217898831,19.840845070422535,18.85,24.406382978723403,28.130434782608695,2007,01
2007-01-18,15.616666666666667,20.301932367149757,23.305303030303033,25.558333333333334,27.70434782608696,16.28740458015267,18.86388888888889,18.972847682119205,24.197916666666668,28.129166666666666,2007,01
